Semestre,Campus | Prog.,Programa-Relacionado,Cohorte,Código-Gr,Nombre Materia,Resumen horarios,Resumen de fechas
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043001-20,Cartografía Social y Territorial,S8-16,"📅Septiembre: sáb 05 sept ▶️ Pre 🔸 sáb 12 sept ▶️ AMT 🔸  

📅Octubre: sáb 03 oct ▶️ Pre 🔸 sáb 10 oct ▶️ AMT 🔸 sáb 24 oct ▶️ AMT 🔸 sáb 31 oct ▶️ Pre 🔸  

📅Noviembre: sáb 07 nov ▶️ AMT 🔸 sáb 21 nov ▶️ AMT 🔸 sáb 28 nov ▶️ Pre 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043002-20,"Tierra, Territorio y Ecosistemas de las Comunidades Rurales",D7-15,"📅Septiembre: dom 06 sept ▶️ Pre 🔸 dom 13 sept ▶️ AMT 🔸  

📅Octubre: dom 04 oct ▶️ Pre 🔸 dom 11 oct ▶️ AMT 🔸 dom 25 oct ▶️ AMT 🔸  

📅Noviembre: dom 01 nov ▶️ Pre 🔸 dom 08 nov ▶️ AMT 🔸 dom 22 nov ▶️ AMT 🔸 dom 29 nov ▶️ Pre 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043003-20,"Lo Rural, las Ruralidades y las Poblaciones Rurales",V9-17,"📅Septiembre: vie 04 sept ▶️ Pre 🔸 vie 11 sept ▶️ AMT 🔸  

📅Octubre: vie 02 oct ▶️ Pre 🔸 vie 09 oct ▶️ AMT 🔸 vie 23 oct ▶️ AMT 🔸 vie 30 oct ▶️ Pre 🔸  

📅Noviembre: vie 06 nov ▶️ AMT 🔸 vie 20 nov ▶️ AMT 🔸 vie 27 nov ▶️ Pre 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043004-20,El Buen Vivir: Vivir Bien en el Territorio y la Comunidad,S8-16,"📅Agosto: sáb 22 ago ▶️ Pre 🔸 sáb 29 ago ▶️ AMT 🔸  

📅Septiembre: sáb 19 sept ▶️ Pre 🔸 sáb 26 sept ▶️ AMT 🔸  

📅Octubre: sáb 17 oct ▶️ Pre 🔸 sáb 24 oct ▶️ AMT 🔸  

📅Noviembre: sáb 14 nov ▶️ Pre 🔸 sáb 21 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043005-20,Pedagogías desde la Diversidad Cultural,V9-17,"📅Agosto: vie 21 ago ▶️ Pre 🔸 vie 28 ago ▶️ AMT 🔸  

📅Septiembre: vie 18 sept ▶️ Pre 🔸 vie 25 sept ▶️ AMT 🔸  

📅Octubre: vie 16 oct ▶️ Pre 🔸 vie 23 oct ▶️ AMT 🔸  

📅Noviembre: vie 13 nov ▶️ Pre 🔸 vie 20 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043006-20,Español Académico,D7-15,"📅Agosto: dom 23 ago ▶️ Pre 🔸 dom 30 ago ▶️ AMT 🔸  

📅Septiembre: dom 20 sept ▶️ Pre 🔸 dom 27 sept ▶️ AMT 🔸  

📅Octubre: dom 18 oct ▶️ Pre 🔸 dom 25 oct ▶️ AMT 🔸  

📅Noviembre: dom 15 nov ▶️ Pre 🔸 dom 22 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2024-2,2043023-20,Práctica Pedagógica II: Planes de Vida Comunitarios,V9-17,"📅Agosto: vie 14 ago ▶️ Pre 🔸 vie 21 ago ▶️ AMT 🔸  

📅Septiembre: vie 11 sept ▶️ Pre 🔸 vie 18 sept ▶️ Prác 🔸  

📅Octubre: vie 09 oct ▶️ Pre 🔸 vie 16 oct ▶️ AMT 🔸 vie 23 oct ▶️ AMT 🔸  

📅Noviembre: vie 06 nov ▶️ Pre 🔸 vie 13 nov ▶️ Prác 🔸 vie 27 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2024-2,2043024-20,Gestión y manejo de sistemas productivos y ambientales en la ruralidad,V9-17,"📅Agosto: vie 21 ago ▶️ AMT 🔸 vie 28 ago ▶️ Pre 🔸  

📅Septiembre: vie 04 sept ▶️ AMT 🔸 vie 25 sept ▶️ Pre 🔸  

📅Octubre: vie 02 oct ▶️ AMT 🔸 vie 23 oct ▶️ Pre 🔸 vie 30 oct ▶️ AMT 🔸  

📅Noviembre: vie 20 nov ▶️ Pre 🔸 vie 27 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2024-2,2043025-20,Reforma Rural Integral y Construcción de Paz Territorial,D7-15,"📅Agosto: dom 23 ago ▶️ AMT 🔸 dom 30 ago ▶️ Pre 🔸  

📅Septiembre: dom 06 sept ▶️ AMT 🔸 dom 27 sept ▶️ Pre 🔸  

📅Octubre: dom 04 oct ▶️ AMT 🔸 dom 25 oct ▶️ Pre 🔸  

📅Noviembre: dom 01 nov ▶️ AMT 🔸 dom 22 nov ▶️ Pre 🔸 sáb 28 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2024-2,2043026-20,Políticas Públicas y Salud Comunitaria en la Ruralidad,D7-15,"📅Agosto: dom 16 ago ▶️ Pre 🔸 dom 23 ago ▶️ AMT 🔸  

📅Septiembre: dom 13 sept ▶️ Pre 🔸 dom 20 sept ▶️ AMT 🔸  

📅Octubre: dom 11 oct ▶️ Pre 🔸 dom 18 oct ▶️ AMT 🔸  

📅Noviembre: dom 08 nov ▶️ Pre 🔸 dom 15 nov ▶️ AMT 🔸 dom 29 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2024-2,2043027-20,Pedagogías Para la Paz Territorial,S8-16,"📅Agosto: sáb 22 ago ▶️ AMT 🔸 sáb 29 ago ▶️ Pre 🔸  

📅Septiembre: sáb 05 sept ▶️ AMT 🔸 sáb 26 sept ▶️ Pre 🔸  

📅Octubre: sáb 03 oct ▶️ AMT 🔸 sáb 24 oct ▶️ Pre 🔸 sáb 31 oct ▶️ AMT 🔸  

📅Noviembre: sáb 21 nov ▶️ Pre 🔸 sáb 28 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2023-2,2043033-20,Práctica Pedagógica IV: Propuesta Creativa Comunitaria I,S8-16,"📅Agosto: sáb 15 ago ▶️ Pre 🔸 sáb 22 ago ▶️ AMT 🔸 sáb 29 ago ▶️ AMT 🔸  

📅Septiembre: sáb 05 sept ▶️ Prác 🔸 sáb 12 sept ▶️ Pre 🔸 sáb 19 sept ▶️ AMT 🔸  

📅Octubre: sáb 03 oct ▶️ AMT 🔸 sáb 10 oct ▶️ Pre 🔸 sáb 17 oct ▶️ Prác 🔸 sáb 31 oct ▶️ AMT 🔸  

📅Noviembre: sáb 07 nov ▶️ Pre 🔸 sáb 14 nov ▶️ Prác 🔸 sáb 21 nov ▶️ AMT 🔸 sáb 28 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2023-2,2043033-21,Práctica Pedagógica IV: Propuesta Creativa Comunitaria I,S8-16,"📅Agosto: sáb 15 ago ▶️ Pre 🔸 sáb 22 ago ▶️ AMT 🔸 sáb 29 ago ▶️ AMT 🔸  

📅Septiembre: sáb 05 sept ▶️ Prác 🔸 sáb 12 sept ▶️ Pre 🔸 sáb 19 sept ▶️ AMT 🔸  

📅Octubre: sáb 03 oct ▶️ AMT 🔸 sáb 10 oct ▶️ Pre 🔸 sáb 17 oct ▶️ Prác 🔸 sáb 31 oct ▶️ AMT 🔸  

📅Noviembre: sáb 07 nov ▶️ Pre 🔸 sáb 14 nov ▶️ Prác 🔸 sáb 21 nov ▶️ AMT 🔸 sáb 28 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2023-2,2043033-22,Práctica Pedagógica IV: Propuesta Creativa Comunitaria I,S8-16,"📅Agosto: sáb 15 ago ▶️ Pre 🔸 sáb 22 ago ▶️ AMT 🔸 sáb 29 ago ▶️ AMT 🔸  

📅Septiembre: sáb 05 sept ▶️ Prác 🔸 sáb 12 sept ▶️ Pre 🔸 sáb 19 sept ▶️ AMT 🔸  

📅Octubre: sáb 03 oct ▶️ AMT 🔸 sáb 10 oct ▶️ Pre 🔸 sáb 17 oct ▶️ Prác 🔸 sáb 31 oct ▶️ AMT 🔸  

📅Noviembre: sáb 07 nov ▶️ Pre 🔸 sáb 14 nov ▶️ Prác 🔸 sáb 21 nov ▶️ AMT 🔸 sáb 28 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2023-2,2043034-20,Seminario de Profundización I,S8-16,"📅Agosto: sáb 22 ago ▶️ AMT 🔸 sáb 29 ago ▶️ Pre 🔸  

📅Septiembre: sáb 05 sept ▶️ AMT 🔸 sáb 26 sept ▶️ Pre 🔸  

📅Octubre: sáb 03 oct ▶️ AMT 🔸 sáb 24 oct ▶️ Pre 🔸 sáb 31 oct ▶️ AMT 🔸  

📅Noviembre: sáb 21 nov ▶️ Pre 🔸 sáb 28 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2023-2,2043035-20,Periodismo y Radio Comunitaria,V9-17,"📅Agosto: vie 14 ago ▶️ Pre 🔸 vie 21 ago ▶️ AMT 🔸  

📅Septiembre: vie 11 sept ▶️ Pre 🔸 vie 18 sept ▶️ AMT 🔸  

📅Octubre: vie 09 oct ▶️ Pre 🔸 vie 16 oct ▶️ AMT 🔸  

📅Noviembre: vie 06 nov ▶️ Pre 🔸 vie 13 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2023-2,2043923-20,Infancias y Culturas Juveniles,V9-17,"📅Agosto: vie 21 ago ▶️ AMT 🔸 vie 28 ago ▶️ Pre 🔸  

📅Septiembre: vie 04 sept ▶️ AMT 🔸 vie 25 sept ▶️ Pre 🔸  

📅Octubre: vie 02 oct ▶️ AMT 🔸 vie 23 oct ▶️ Pre 🔸 vie 30 oct ▶️ AMT 🔸  

📅Noviembre: vie 20 nov ▶️ Pre 🔸 vie 27 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2023-2,2043812-20,Teorías del conflicto y construcción de Paz,M18-22,"📅Agosto: mar 11 ago ▶️ AMT 🔸 mar 18 ago ▶️ AMT 🔸 mar 25 ago ▶️ AMT 🔸  

📅Septiembre: mar 01 sept ▶️ AMT 🔸 mar 08 sept ▶️ AMT 🔸 mar 15 sept ▶️ AMT 🔸 mar 22 sept ▶️ AMT 🔸 mar 29 sept ▶️ AMT 🔸  

📅Octubre: mar 06 oct ▶️ AMT 🔸 mar 13 oct ▶️ AMT 🔸 mar 20 oct ▶️ AMT 🔸 mar 27 oct ▶️ AMT 🔸  

📅Noviembre: mar 03 nov ▶️ AMT 🔸 mar 10 nov ▶️ AMT 🔸 mar 17 nov ▶️ AMT 🔸 mar 24 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ciencias Naturales,2023-1,2059006-20,Políticas Públicas y Legislación Educativa,V14-19 - S7-12 - D14-19,"📅Octubre: vie 16 oct ▶️  🔸 sáb 17 oct ▶️  🔸 vie 23 oct ▶️  🔸 sáb 24 oct ▶️  🔸 vie 30 oct ▶️  🔸 sáb 31 oct ▶️  🔸 dom 18 oct ▶️ AMT 🔸 dom 25 oct ▶️ AMT 🔸  

📅Noviembre: vie 06 nov ▶️  🔸 sáb 07 nov ▶️  🔸 vie 13 nov ▶️  🔸 sáb 14 nov ▶️  🔸 dom 01 nov ▶️ AMT 🔸 dom 08 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ciencias Naturales,2023-1,2090801-20,Práctica Pedagógica VIII,S14-19 - D7-12,"📅Agosto: sáb 08 ago ▶️  🔸 dom 09 ago ▶️  🔸 sáb 22 ago ▶️  🔸 dom 23 ago ▶️  🔸  

📅Septiembre: sáb 05 sept ▶️  🔸 dom 06 sept ▶️  🔸 sáb 19 sept ▶️  🔸 dom 20 sept ▶️  🔸  

📅Octubre: sáb 03 oct ▶️  🔸 dom 04 oct ▶️  🔸 sáb 17 oct ▶️  🔸 dom 18 oct ▶️  🔸 sáb 31 oct ▶️  🔸  

📅Noviembre: dom 01 nov ▶️  🔸  

"
2026-2,Amalfi,Ciencias Naturales,2023-1,2090702-20,Zoología,V14-19 - S7-12 - D14-19,"📅Agosto: vie 21 ago ▶️  🔸 sáb 22 ago ▶️  🔸 vie 28 ago ▶️  🔸 sáb 29 ago ▶️  🔸 dom 23 ago ▶️ AMT 🔸 dom 30 ago ▶️ AMT 🔸  

📅Septiembre: vie 04 sept ▶️  🔸 sáb 05 sept ▶️  🔸 vie 11 sept ▶️  🔸 sáb 12 sept ▶️  🔸 vie 18 sept ▶️  🔸 sáb 19 sept ▶️  🔸 vie 25 sept ▶️  🔸 sáb 26 sept ▶️  🔸 dom 06 sept ▶️ AMT 🔸 dom 13 sept ▶️ AMT 🔸 dom 20 sept ▶️ AMT 🔸  

📅Octubre: vie 02 oct ▶️ Lab 🔸 sáb 03 oct ▶️ Lab 🔸 vie 09 oct ▶️  🔸 sáb 10 oct ▶️  🔸 dom 11 oct ▶️ AMT 🔸  

"
2026-2,Andes,Especial,2026-2,2059003-25,Tradiciones y paradigmas en pedagogía,"L6-7 -  - ",
2026-2,Andes,Especial,2026-2,2059004-25,"Historia, imágenes y concepciones de maestro.","L6-7 -  - ",
2026-2,Andes,Especial,2026-2,2059006-25,Políticas Públicas y Legislación Educativa,"L6-7 -  - ",
2026-2,Andes,Especial,2026-2,2018010-25,"Relaciones entre desarrollo, educación y aprendizaje I","L6-7 -  - ",
2026-2,Andes,Especial,2026-2,2018011-25,Historia y tradiciones de la educación especial,"L6-7 -  - ",
2026-2,Andes,Especial,2026-2,2018014-25,Práctica pedagógica I,"L6-7 -  - ",
2026-2,Andes,Especial,2026-2,2018020-25,Matemáticas y su didáctica,"L6-7 -  - ",
2026-2,Andes,Ciencias Naturales,2025-2,2090303-25,Sistemas Químicos III,S14-19 - DD_7-12 - V7-12,"📅Octubre: sáb 24 oct ▶️  🔸 dom 25 oct ▶️  🔸 sáb 31 oct ▶️  🔸 vie 23 oct ▶️ ATM 🔸 vie 30 oct ▶️ ATM 🔸  

📅Noviembre: dom 01 nov ▶️  🔸 sáb 07 nov ▶️  🔸 dom 08 nov ▶️  🔸 sáb 14 nov ▶️  🔸 dom 15 nov ▶️  🔸 sáb 21 nov ▶️  🔸 dom 22 nov ▶️  🔸 sáb 28 nov ▶️  🔸 dom 29 nov ▶️  🔸 vie 06 nov ▶️ ATM 🔸 vie 13 nov ▶️ ATM 🔸 vie 20 nov ▶️ ATM 🔸 vie 27 nov ▶️ ATM 🔸 dom 22 nov ▶️ ATM 🔸 dom 29 nov ▶️ ATM 🔸  

📅Diciembre: sáb 05 dic ▶️  🔸 dom 06 dic ▶️  🔸 vie 04 dic ▶️ AMT 🔸 "
2026-2,Andes,Ciencias Naturales,2025-2,2090304-25,Física Biológica II,V14-19 - S7-12 - D14-19,"📅Agosto: vie 21 ago ▶️  🔸 sáb 22 ago ▶️  🔸  

📅Septiembre: vie 04 sept ▶️  🔸 sáb 05 sept ▶️ Lab 🔸 vie 18 sept ▶️  🔸 sáb 19 sept ▶️ Lab 🔸 dom 20 sept ▶️ ATM 🔸 dom 27 sept ▶️ ATM 🔸  

📅Octubre: vie 02 oct ▶️  🔸 sáb 03 oct ▶️ Lab 🔸 vie 16 oct ▶️  🔸 sáb 17 oct ▶️ Lab 🔸 vie 30 oct ▶️  🔸 sáb 31 oct ▶️  🔸 dom 11 oct ▶️ ATM 🔸 dom 18 oct ▶️ ATM 🔸 dom 25 oct ▶️ ATM 🔸  

📅Noviembre: vie 13 nov ▶️  🔸 sáb 14 nov ▶️  🔸  

"
2026-2,Andes,Ciencias Naturales,2025-2,2096531-25,Calculo Integral,S14-19 - D7-12 - V7-12,"📅Agosto: sáb 08 ago ▶️  🔸 dom 09 ago ▶️  🔸 sáb 22 ago ▶️  🔸 dom 23 ago ▶️  🔸 vie 14 ago ▶️ ATM 🔸 vie 28 ago ▶️ ATM 🔸  

📅Septiembre: sáb 05 sept ▶️  🔸 dom 06 sept ▶️  🔸 sáb 19 sept ▶️  🔸 dom 20 sept ▶️  🔸 vie 11 sept ▶️ ATM 🔸  

📅Octubre: sáb 03 oct ▶️  🔸 dom 04 oct ▶️  🔸 sáb 17 oct ▶️  🔸  

"
2026-2,Andes,Ciencias Naturales,2025-2,2090301-25,"Práctica Pedagógica III ",S14-19 - D7-12 - D14-19,"📅Agosto: sáb 15 ago ▶️  🔸 dom 16 ago ▶️  🔸 sáb 29 ago ▶️  🔸 dom 30 ago ▶️  🔸 dom 23 ago ▶️ ATM 🔸  

📅Septiembre: sáb 12 sept ▶️  🔸 dom 13 sept ▶️  🔸 sáb 26 sept ▶️  🔸 dom 27 sept ▶️  🔸 dom 06 sept ▶️ ATM 🔸  

📅Octubre: sáb 10 oct ▶️  🔸 dom 11 oct ▶️  🔸 dom 04 oct ▶️ ATM 🔸  

"
2026-2,Andes,Ciencias Naturales,"2025-1 , 2025-2",2090302-25,Microbiología,V14-19 - S7-12 - V7-12,"📅Agosto: sáb 08 ago ▶️ AMT 🔸 vie 14 ago ▶️  🔸 sáb 15 ago ▶️  🔸 vie 28 ago ▶️  🔸 sáb 29 ago ▶️ Lab 🔸 dom 16 ago ▶️ ATM 🔸 vie 21 ago ▶️ ATM 🔸  

📅Septiembre: vie 11 sept ▶️  🔸 sáb 12 sept ▶️ Lab 🔸 vie 25 sept ▶️  🔸 sáb 26 sept ▶️ Lab 🔸 vie 04 sept ▶️ ATM 🔸 vie 18 sept ▶️ ATM 🔸  

📅Octubre: vie 09 oct ▶️  🔸 sáb 10 oct ▶️ Lab 🔸 vie 23 oct ▶️  🔸 sáb 24 oct ▶️  🔸 vie 02 oct ▶️ ATM 🔸 vie 16 oct ▶️ ATM 🔸 vie 02 oct ▶️ ATM 🔸 vie 09 oct ▶️ ATM 🔸  

📅Noviembre: vie 06 nov ▶️  🔸 sáb 07 nov ▶️  🔸  

"
2026-2,Andes,Lengua Castellana y Literatura,2025-1,2094401-25,Práctica Pedagógica IV,S7-12 - V14-19 - D14-19,"📅Agosto: sáb 08 ago ▶️  🔸 sáb 22 ago ▶️  🔸  

📅Septiembre: sáb 05 sept ▶️  🔸 sáb 19 sept ▶️  🔸 dom 20 sept ▶️ ATM 🔸  

📅Octubre: sáb 03 oct ▶️  🔸 sáb 17 oct ▶️  🔸 sáb 24 oct ▶️  🔸 sáb 31 oct ▶️  🔸  

📅Noviembre: sáb 07 nov ▶️  🔸 sáb 14 nov ▶️  🔸 sáb 21 nov ▶️  🔸 vie 27 nov ▶️  🔸 sáb 28 nov ▶️  🔸 dom 22 nov ▶️ ATM 🔸  

📅Diciembre: sáb 05 dic ▶️  🔸 "
